"Region,Year,Month,Station,Rainfall_mm,RainyDays,MaxTemp_C,MinTemp_C,UrbanRural"
"North,2023,Jan,StationA,56.2,9,12.1,2.5,Urban"
"North,2023,Feb,StationA,72.1,12,14.7,3.0,Urban"
"North,2023,Jan,StationB,60.5,10,11.2,1.8,Rural"
"South,2023,Jan,StationC,81.0,13,19.6,7.2,Urban"
"South,2023,Feb,StationC,63.4,11,20.1,7.7,Urban"
"East,2023,Jan,StationD,45.7,8,15.4,5.6,Rural"
"East,2023,Feb,StationD,59.6,10,17.9,6.2,Rural"
"West,2023,Jan,StationE,77.4,12,16.8,4.9,Urban"
"West,2023,Feb,StationE,84.2,13,18.2,5.3,Urban"
"North,2023,Mar,StationB,61.5,11,15.0,3.2,Rural"
